Glycan,C1,C2,C3,C_4,C_5
5-6-2-3-0 All Adducts,33437010,10931096,6110578.38,N/A,N/A
5-6-2-3-0 All Ratio,5.47,1.79,1,N/A,N/A
5-7-0-0-0 Protonated,2857354,885902.1,4956536,N/A,N/A
5-7-0-0-0 Protonated Ratio,3.23,1,5.59,N/A,N/A
5-7-0-0-0 All Adducts,4278451.75,885902.13,4956535.5,N/A,N/A
5-7-0-0-0 All Ratio,4.83,1,5.59,N/A,N/A
5-7-0-1-0 Protonated,181553.4,29042.79,101197.1,N/A,N/A
5-7-0-1-0 Protonated Ratio,6.25,1,3.48,N/A,N/A
5-7-0-1-0 All Adducts,181553.41,29042.79,101197.1,N/A,N/A
5-7-0-1-0 All Ratio,6.25,1,3.48,N/A,N/A
5-7-0-2-0 Protonated,1311410,267336.1,308696.5,N/A,N/A
5-7-0-2-0 Protonated Ratio,4.91,1,1.15,N/A,N/A
5-7-0-2-0 All Adducts,1311409.88,296702.86,446046.36,N/A,N/A
5-7-0-2-0 All Ratio,4.42,1,1.5,N/A,N/A
5-7-1-0-0 Protonated,557801,1359906,2020598,N/A,N/A
5-7-1-0-0 Protonated Ratio,1,2.44,3.62,N/A,N/A
5-7-1-0-0 All Adducts,2370799.25,2058680.44,2917000.56,N/A,N/A
5-7-1-0-0 All Ratio,1.15,1,1.42,N/A,N/A
5-7-1-1-0 Protonated,127450.4,188437.6,455189.5,N/A,N/A
5-7-1-1-0 Protonated Ratio,1,1.48,3.57,N/A,N/A
5-7-1-1-0 All Adducts,1124983.87,310367.79,1007418.38,N/A,N/A
5-7-1-1-0 All Ratio,3.62,1,3.25,N/A,N/A
5-7-1-2-0 Protonated,6251361,15588800,25613940,N/A,N/A
5-7-1-2-0 Protonated Ratio,1,2.49,4.1,N/A,N/A
5-7-1-2-0 All Adducts,7421774.13,24951230,32725070.5,N/A,N/A
5-7-1-2-0 All Ratio,1,3.36,4.41,N/A,N/A
